category,developer,name,platforms,price,release_date,reviews_quan,score,url
Adventure Games,Euphoria Games,Antarctica 88,windows ,123,"14 Aug, 2020",115,,https://store.steampowered.com/app/1383630/Antarctica_88/?snr=1_7_7_151_150_1
Indie Games,ИЛЬЯМАЗО,ШХД: ЛЕТО / IT'S SUMMER,windows ,,Jun 2021,21,,https://store.steampowered.com/app/1633110/___ITS_SUMMER/?snr=1_7_7_151_150_1
Adventure Games,Euphoria Games,Death Park,windows ,123,"26 Nov, 2019",95,,https://store.steampowered.com/app/1186030/Death_Park/?snr=1_7_7_151_150_1
Indie Games,CreaTeam,Code Brown,windows ,"193,50","9 Nov, 2018",76,,https://store.steampowered.com/app/930640/Code_Brown/?snr=1_7_7_151_150_1
Racing Games,A. Strazhev,Race for Tuning,windows ,74,"19 Apr, 2019",415,,https://store.steampowered.com/app/1019940/Race_for_Tuning/?snr=1_7_7_151_150_1
Strategy Games,Crasleen Games,Warbanners,windows linux ,130,"18 Oct, 2017",463,,https://store.steampowered.com/app/650440/Warbanners/?snr=1_7_7_151_150_1
"Action Games,ESDigital Games Franchise",Ludus future,Demon Skin,windows ,152,"13 Apr, 2021",66,,https://store.steampowered.com/app/1522140/Demon_Skin/?snr=1_7_7_151_150_1
Action Games,Euphoria Games,Mimicry,windows ,106,"25 Aug, 2022",41,,https://store.steampowered.com/app/1804170/Mimicry/?snr=1_7_7_151_150_1
Adventure Games,Euphoria Games,Death Park 2,windows ,123,"24 Feb, 2021",107,,https://store.steampowered.com/app/1525890/Death_Park_2/?snr=1_7_7_151_150_1
"Indie Games,DuCats Games Franchise",DuCats Games Studio,Swordbreaker: Origins,windows linux ,315,"13 May, 2022",19,,https://store.steampowered.com/app/1080700/Swordbreaker_Origins/?snr=1_7_7_151_150_1
Indie Games,Носков Сергей,7th Sector,windows ,88,"5 Mar, 2019",510,,https://store.steampowered.com/app/749250/7th_Sector/?snr=1_7_7_151_150_1
Simulation Games,IO Games,Survive on Raft,windows ,99,"5 Jul, 2019",625,,https://store.steampowered.com/app/1094000/Survive_on_Raft/?snr=1_7_7_151_150_1
Indie Games,Fair Games Studio,Loco Parentis / 孤女咒怨,windows ,219,"19 Sep, 2019",360,,https://store.steampowered.com/app/693800/Loco_Parentis/?snr=1_7_7_151_150_1
Casual Games,Antizero company,Simple Ball: Extended Edition,windows ,15,"25 Jul, 2016",54,,https://store.steampowered.com/app/487530/Simple_Ball_Extended_Edition/?snr=1_7_7_151_150_2
"Indie Games,К и Ко Franchise",Koyotis Studio,Please close the doors,windows ,12,"29 Jan, 2018",23,,https://store.steampowered.com/app/778850/Please_close_the_doors/?snr=1_7_7_151_150_2
Simulation Games,Wooden Monkeys,Save Koch,windows mac linux ,,"18 Apr, 2019",111,,https://store.steampowered.com/app/1016720/Save_Koch/?snr=1_7_7_151_150_2
Indie Games,Lokator Studio,Where are my Internets?,windows mac linux ,,"16 Dec, 2016",51,,https://store.steampowered.com/app/521580/Where_are_my_Internets/?snr=1_7_7_151_150_2
"Casual Games,TrinityProject Franchise",Droid Riot,Terminal squad: Sentinel,windows ,13,"19 Dec, 2019",23,,https://store.steampowered.com/app/1118050/Terminal_squad_Sentinel/?snr=1_7_7_151_150_2
Audio Production,URUS GAMES,GraviSound,windows ,,"18 Jun, 2018",23,,https://store.steampowered.com/app/932480/GraviSound/?snr=1_7_7_151_150_2
Action Games,Dmitriy Uvarov,Battle of Frigates,windows ,13,"21 Sep, 2017",58,,https://store.steampowered.com/app/711320/Battle_of_Frigates/?snr=1_7_7_151_150_2
"Indie Games,meokigame Franchise",meokigame,Range Ball,windows mac ,14,"1 Apr, 2018",14,,https://store.steampowered.com/app/867550/Range_Ball/?snr=1_7_7_151_150_2
Adventure Games,Talentplace,Noise,windows ,"583,40","13 Oct, 2019",124,,https://store.steampowered.com/app/676760/Noise/?snr=1_7_7_151_150_2
Strategy Games,Pirozhok Studio,Life is Hard,windows mac linux ,"349,60","14 Aug, 2021",320,,https://store.steampowered.com/app/414080/Life_is_Hard/?snr=1_7_7_151_150_2
Action Games,NOINDEX GAMES,School of the Dead: Anastasia,windows ,,"27 Nov, 2018",25,,https://store.steampowered.com/app/958090/School_of_the_Dead_Anastasia/?snr=1_7_7_151_150_2
Indie Games,HugePixel,More Dark,windows ,80,"7 Nov, 2019",18,,https://store.steampowered.com/app/1167770/More_Dark/?snr=1_7_7_151_150_2
Action Games,HugePixel,Restless Night,windows ,80,"16 Jun, 2021",10,,https://store.steampowered.com/app/1530230/Restless_Night/?snr=1_7_7_151_150_2
Indie Games,GGaming,Endless Maneuver,windows ,15,"13 Mar, 2019",12,,https://store.steampowered.com/app/979530/Endless_Maneuver/?snr=1_7_7_151_150_2
Action Games,Enoops,Azure Sky,windows ,20,"25 Jan, 2021",19,,https://store.steampowered.com/app/1504310/Azure_Sky/?snr=1_7_7_151_150_2
Free to Play Games,KLP Company,Jendo: Origins,windows ,,"5 Nov, 2020",298,,https://store.steampowered.com/app/1449430/Jendo_Origins/?snr=1_7_7_151_150_2
Action Games,Enoops,Throne of Fate,windows ,26,"21 Oct, 2020",17,,https://store.steampowered.com/app/1403190/Throne_of_Fate/?snr=1_7_7_151_150_2
Action Games,TEN TIULENYA team,One Man Is Not No Man,windows ,,"18 Mar, 2016",63,,https://store.steampowered.com/app/453510/One_Man_Is_Not_No_Man/?snr=1_7_7_151_150_2
Indie Games,Reward Hunters,Fishermurs,windows ,15,"13 Jun, 2017",43,,https://store.steampowered.com/app/564210/Fishermurs/?snr=1_7_7_151_150_2
"Indie Games,Craft The World,Downloadable Content",Dekovir Entertainment,Craft The World - Temples of 4 Elements,windows mac ,"62,50","18 Sep, 2019",52,,https://store.steampowered.com/app/1157170/Craft_The_World__Temples_of_4_Elements/?snr=1_7_7_151_150_1
Indie Games,Fatshark,Krater,windows mac ,34,"12 Jun, 2012",595,52,https://store.steampowered.com/app/42170/Krater/?snr=1_7_7_151_150_1
Indie Games,Tower Games,Fate Hunters,windows mac linux ,,"18 Jul, 2019",717,,https://store.steampowered.com/app/920680/Fate_Hunters/?snr=1_7_7_151_150_2
Indie Games,IndieBug,Demons Never Lie,windows mac linux ,"64,99","22 Oct, 2019",387,,https://store.steampowered.com/app/1138410/Demons_Never_Lie/?snr=1_7_7_151_150_1
